,YEAR,MONTH,MSL
1956.375,1956,5,6980
1956.4583,1956,6,6840
1956.5417,1956,7,6890
1956.625,1956,8,6830
1956.7083,1956,9,6830
1956.7917,1956,10,6980
1956.875,1956,11,7040
1956.9583,1956,12,7140
1957.0417,1957,1,7150
1957.125,1957,2,7050
1957.2083,1957,3,7010
1957.2917,1957,4,6940
1957.375,1957,5,6980
1957.4583,1957,6,6940
1957.5417,1957,7,6950
1957.625,1957,8,6880
1957.7083,1957,9,6890
1957.7917,1957,10,7100
1957.875,1957,11,7000
1957.9583,1957,12,7060
1958.0417,1958,1,7020
1958.125,1958,2,6840
1958.2083,1958,3,6840
1958.2917,1958,4,6860
1958.375,1958,5,6790
1958.4583,1958,6,6860
1958.5417,1958,7,6900
1958.625,1958,8,6980
1958.7083,1958,9,7030
1958.7917,1958,10,7060
1958.875,1958,11,7110
1958.9583,1958,12,7080
1959.0417,1959,1,6910
1959.125,1959,2,7030
1959.2083,1959,3,7090
1959.2917,1959,4,6940
1959.375,1959,5,6890
1959.4583,1959,6,6970
1959.5417,1959,7,7030
1959.625,1959,8,6950
1959.7083,1959,9,7010
1959.7917,1959,10,7140
1959.875,1959,11,7100
1959.9583,1959,12,7180
1960.0417,1960,1,7000
1960.125,1960,2,6920
1960.2083,1960,3,6750
1960.2917,1960,4,6930
1960.375,1960,5,6920
1960.4583,1960,6,7000
1960.5417,1960,7,7010
1960.625,1960,8,6930
1960.7083,1960,9,7060
1960.7917,1960,10,7020
1960.875,1960,11,7190
1960.9583,1960,12,7150
1961.0417,1961,1,7060
1961.125,1961,2,7110
1961.2083,1961,3,7050
1961.2917,1961,4,6980
1961.375,1961,5,6940
1961.4583,1961,6,7070
1961.5417,1961,7,6950
1961.625,1961,8,7020
1961.7083,1961,9,7140
1961.7917,1961,10,6930
1961.875,1961,11,6890
1961.9583,1961,12,7010
1962.0417,1962,1,7140
1962.125,1962,2,6970
1962.2083,1962,3,6800
1962.2917,1962,4,6820
1962.375,1962,5,6850
1962.4583,1962,6,6950
1962.5417,1962,7,6930
1962.625,1962,8,7030
1962.7083,1962,9,7050
1962.7917,1962,10,7080
1962.875,1962,11,7020
1962.9583,1962,12,6970
1963.0417,1963,1,6800
1963.125,1963,2,6950
1963.2083,1963,3,7110
1963.2917,1963,4,6930
1963.375,1963,5,6760
1963.4583,1963,6,6610
1963.5417,1963,7,6990
1963.625,1963,8,7000
1963.7083,1963,9,7050
1963.7917,1963,10,7160
1963.875,1963,11,7130
1963.9583,1963,12,7060
1964.0417,1964,1,7130
1964.125,1964,2,7070
1964.2083,1964,3,7080
1964.2917,1964,4,6990
1964.375,1964,5,7060
1964.4583,1964,6,7070
1964.5417,1964,7,7110
1964.625,1964,8,7010
1964.7083,1964,9,7130
1964.7917,1964,10,7130
1964.875,1964,11,7150
1964.9583,1964,12,7100
1965.0417,1965,1,7100
1965.125,1965,2,6830
1965.2083,1965,3,6940
1965.2917,1965,4,7000
1965.375,1965,5,7000
1965.4583,1965,6,7160
1965.5417,1965,7,7020
1965.625,1965,8,7080
1965.7083,1965,9,7110
1965.7917,1965,10,7160
1965.875,1965,11,7040
1965.9583,1965,12,7160
1966.0417,1966,1,7030
1966.125,1966,2,7050
1966.2083,1966,3,6910
1966.2917,1966,4,6920
1966.375,1966,5,6930
1966.4583,1966,6,7000
1966.5417,1966,7,6930
1966.625,1966,8,6760
1966.7083,1966,9,7140
1966.7917,1966,10,7050
1966.875,1966,11,7030
1966.9583,1966,12,7080
1967.0417,1967,1,6990
1967.125,1967,2,7110
1967.2083,1967,3,7010
1967.2917,1967,4,6900
1967.375,1967,5,6930
1967.4583,1967,6,7010
1967.5417,1967,7,6980
1967.625,1967,8,7040
1967.7083,1967,9,7080
1967.7917,1967,10,7180
1967.875,1967,11,7090
1967.9583,1967,12,6980
1968.0417,1968,1,7010
1968.125,1968,2,6870
1968.2083,1968,3,6960
1968.2917,1968,4,6860
1968.375,1968,5,6840
1968.4583,1968,6,7010
1968.5417,1968,7,6890
1968.625,1968,8,6970
1968.7083,1968,9,7030
1968.7917,1968,10,7100
1968.875,1968,11,7130
1968.9583,1968,12,7090
1969.0417,1969,1,6970
1969.125,1969,2,6790
1969.2083,1969,3,6890
1969.2917,1969,4,6880
1969.375,1969,5,6890
1969.4583,1969,6,7040
1969.5417,1969,7,7050
1969.625,1969,8,7060
1969.7083,1969,9,7050
1969.7917,1969,10,7130
1969.875,1969,11,7010
1969.9583,1969,12,7030
1970.0417,1970,1,7070
1970.125,1970,2,7010
1970.2083,1970,3,6830
1970.2917,1970,4,6890
1970.375,1970,5,6940
1970.4583,1970,6,6960
1970.5417,1970,7,6940
1970.625,1970,8,6970
1970.7083,1970,9,7030
1970.7917,1970,10,7000
1970.875,1970,11,7170
1970.9583,1970,12,6980
1971.0417,1971,1,7060
1971.125,1971,2,6980
1971.2083,1971,3,6900
1971.2917,1971,4,6920
1971.375,1971,5,7010
1971.4583,1971,6,6920
1971.5417,1971,7,6980
1971.625,1971,8,7060
1971.7083,1971,9,7060
1971.7917,1971,10,7100
1971.875,1971,11,7010
1971.9583,1971,12,7080
1972.0417,1972,1,7180
1972.125,1972,2,7120
1972.2083,1972,3,7090
1972.2917,1972,4,7010
1972.375,1972,5,7060
1972.4583,1972,6,7110
1972.5417,1972,7,7030
1972.625,1972,8,7000
1972.7083,1972,9,7010
1972.7917,1972,10,7090
1972.875,1972,11,7040
1972.9583,1972,12,7250
1973.0417,1973,1,7140
1973.125,1973,2,7010
1973.2083,1973,3,6980
1973.2917,1973,4,6840
1973.375,1973,5,6920
1973.4583,1973,6,7030
1973.5417,1973,7,7020
1973.625,1973,8,7050
1973.7083,1973,9,7110
1973.7917,1973,10,7050
1973.875,1973,11,7030
1973.9583,1973,12,7010
1974.0417,1974,1,7270
1974.125,1974,2,7050
1974.2083,1974,3,7000
1974.2917,1974,4,6940
1974.375,1974,5,6990
1974.4583,1974,6,7020
1974.5417,1974,7,7060
1974.625,1974,8,7060
1974.7083,1974,9,7080
1974.7917,1974,10,6960
1974.875,1974,11,7090
1974.9583,1974,12,7130
1975.0417,1975,1,7150
1975.125,1975,2,7030
1975.2083,1975,3,6940
1975.2917,1975,4,6850
1975.375,1975,5,6810
1975.4583,1975,6,6920
1975.5417,1975,7,6990
1975.625,1975,8,7040
1975.7083,1975,9,7070
1975.7917,1975,10,7080
1975.875,1975,11,7090
1975.9583,1975,12,7000
1976.0417,1976,1,7060
1976.125,1976,2,7120
1976.2083,1976,3,7140
1976.2917,1976,4,6900
1976.375,1976,5,7020
1976.4583,1976,6,7050
1976.5417,1976,7,7050
1976.625,1976,8,7100
1976.7083,1976,9,6990
1976.7917,1976,10,7200
1976.875,1976,11,7170
1976.9583,1976,12,7050
1977.0417,1977,1,7002
1977.125,1977,2,7042
1977.2083,1977,3,7001
1977.2917,1977,4,6936
1977.375,1977,5,6898
1977.4583,1977,6,6941
1977.5417,1977,7,7019
1977.625,1977,8,7035
1977.7083,1977,9,7105
1977.7917,1977,10,7188
1977.875,1977,11,7112
1977.9583,1977,12,7124
1978.0417,1978,1,7093
1978.125,1978,2,6969
1978.2083,1978,3,7138
1978.2917,1978,4,7138
1978.375,1978,5,7138
1978.4583,1978,6,6999
1978.5417,1978,7,6999
1978.625,1978,8,7043
1978.7083,1978,9,7082
1978.7917,1978,10,7081
1978.875,1978,11,7217
1978.9583,1978,12,7240
1979.0417,1979,1,7061
1979.125,1979,2,7086
1979.2083,1979,3,7045
1979.2917,1979,4,6879
